id,receipt_no,corp_code,corp_name,stock_code,report_name,event_date,market,t0_close,t+1_close,t+2_close,t+5_close,ret_1d,ret_2d,ret_5d,error,t0_date,t+1_date,t+2_date,t+5_date,benchmark_source,benchmark_symbol,benchmark_t0_close,benchmark_t1_close,benchmark_t2_close,benchmark_t5_close,benchmark_ret_1d,benchmark_ret_2d,benchmark_ret_5d,abnormal_ret_1d,abnormal_ret_2d,abnormal_ret_5d,benchmark_alignment
556173,20241114901246,00596260,투비소프트,079970,기타주요경영사항              (주요사항 보고서(유상증자)결정 철회),2024-11-14,KOSDAQ,988.0,998.0,1000.0,965.0,0.010121457489878471,0.012145748987854255,-0.023279352226720618,,2024-11-14,2024-11-15,2024-11-18,2024-11-21,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,681.56,685.42,689.55,680.67,0.005663477903632863,0.011723105816068946,-0.0013058278067961115,0.004457979586245608,0.0004226431717853085,-0.021973524419924506,complete
323697,20251014000290,00596260,투비소프트,079970,주요사항보고서(유상증자결정),2025-10-14,KOSDAQ,596.0,596.0,596.0,596.0,0.0,0.0,0.0,,2025-10-14,2025-10-15,2025-10-16,2025-10-21,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,847.96,864.72,865.41,872.5,0.019765083258644234,0.02057880088683417,0.028940044341714266,-0.019765083258644234,-0.02057880088683417,-0.028940044341714266,complete
319512,20251024900236,00596260,투비소프트,079970,증권발행결과(자율공시)              (제3자배정 유상증자-소액공모),2025-10-24,KOSDAQ,596.0,596.0,596.0,596.0,0.0,0.0,0.0,,2025-10-24,2025-10-27,2025-10-28,2025-10-31,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,883.08,902.7,903.3,900.42,0.02221769262128004,0.022897132762603523,0.019635820084250577,-0.02221769262128004,-0.022897132762603523,-0.019635820084250577,complete
1317087,20210629800636,00296290,키움증권,039490,유상증자또는주식관련사채등의발행결과(자율공시),2021-06-29,KOSPI,132500.0,131000.0,127500.0,126500.0,-0.01132075471698113,-0.037735849056603765,-0.04528301886792452,,2021-06-29,2021-06-30,2021-07-01,2021-07-06,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSPI,3286.68,3296.68,3282.06,3305.21,0.00304258400574442,-0.001405673810653929,0.005637908162644534,-0.01436333872272555,-0.036330175245949836,-0.05092092703056905,complete
1317085,20210629800638,00296290,키움증권,039490,유상증자또는주식관련사채등의발행결과(자율공시),2021-06-29,KOSPI,132500.0,131000.0,127500.0,126500.0,-0.01132075471698113,-0.037735849056603765,-0.04528301886792452,,2021-06-29,2021-06-30,2021-07-01,2021-07-06,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSPI,3286.68,3296.68,3282.06,3305.21,0.00304258400574442,-0.001405673810653929,0.005637908162644534,-0.01436333872272555,-0.036330175245949836,-0.05092092703056905,complete
1317213,20210629900511,01118281,피플바이오,304840,증권발행결과(자율공시)(제3자배정 유상증자),2021-06-29,KOSDAQ,22895.0,24403.0,24357.0,22666.0,0.06586590958724603,0.06385673727888186,-0.010002183882943827,,2021-06-29,2021-06-30,2021-07-01,2021-07-06,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,1022.52,1029.96,1035.64,1044.96,0.007276141297969829,0.012831044869538122,0.02194578101161837,0.0585897682892762,0.05102569240934374,-0.0319479648945622,complete
1315139,20210701000410,01118281,피플바이오,304840,주요사항보고서(유상증자결정),2021-07-01,KOSDAQ,24357.0,23763.0,23854.0,22986.0,-0.024387239807858063,-0.02065114751406172,-0.056287720162581545,,2021-07-01,2021-07-02,2021-07-05,2021-07-08,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,1035.64,1038.18,1047.33,1034.48,0.0024525897029854526,0.011287706152717014,-0.0011200803367966694,-0.026839829510843516,-0.03193885366677873,-0.055167639825784875,complete
1250333,20211129900006,01118281,피플바이오,304840,기타주요경영사항(제3자배정 유상증자 철회),2021-11-29,KOSDAQ,12978.0,11973.0,13115.0,13755.0,-0.07743874248728622,0.010556326090306767,0.0598705501618122,,2021-11-29,2021-11-30,2021-12-01,2021-12-06,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,992.34,965.63,977.15,991.87,-0.02691617792288936,-0.015307253562287126,-0.00047362799040651105,-0.050522564564396855,0.025863579652593893,0.06034417815221871,complete
873122,20230621000206,01118281,피플바이오,304840,주요사항보고서(유상증자결정),2023-06-21,KOSDAQ,10803.0,10958.0,10711.0,10337.0,0.014347866333425996,-0.00851615292048502,-0.04313616587984814,,2023-06-21,2023-06-22,2023-06-23,2023-06-28,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,875.7,876.38,874.84,866.97,0.000776521639830996,-0.0009820714856686452,-0.009969167523124378,0.013571344693595,-0.007534081434816375,-0.033166998356723765,complete
869477,20230629900278,01118281,피플바이오,304840,증권발행결과(자율공시)(제3자배정 유상증자),2023-06-29,KOSDAQ,10510.0,10410.0,8161.0,9605.0,-0.009514747859181716,-0.22350142721217892,-0.0861084681255947,,2023-06-29,2023-06-30,2023-07-03,2023-07-06,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,861.79,868.24,889.29,870.53,0.0074844219589460526,0.03191032618155232,0.010141681848246042,-0.01699916981812777,-0.25541175339373123,-0.09625014997384074,complete
