id,receipt_no,corp_code,corp_name,stock_code,report_name,event_date,market,t0_close,t+1_close,t+2_close,t+5_close,ret_1d,ret_2d,ret_5d,error,disclosure_id,contract_value_krw,prior_year_revenue_krw,contract_to_revenue_ratio,validation_status
95004,20260316900409,576798,디아이티,110990,단일판매ㆍ공급계약체결,2026-03-16,KOSDAQ,23500.0,22700.0,22650.0,19950.0,-0.0340425531914894,-0.0361702127659574,-0.1510638297872341,,95004,15870000000.0,116655392937,0.136,ok
94983,20260316900430,276083,피노,033790,단일판매ㆍ공급계약체결,2026-03-16,KOSDAQ,4920.0,4860.0,5090.0,4525.0,-0.0121951219512195,0.0345528455284553,-0.0802845528455284,,94983,14470790400.0,30676302081,0.4717,ok
43223,20260408900802,276083,피노,033790,단일판매ㆍ공급계약체결,2026-04-08,KOSDAQ,10050.0,10060.0,10690.0,9100.0,0.0009950248756218,0.063681592039801,-0.0945273631840796,,43223,31220896000.0,264760884474,0.11789999999999999,ok
94529,20260316901006,871833,에스티팜,237690,단일판매ㆍ공급계약체결,2026-03-16,KOSDAQ,155100.0,153400.0,155800.0,142500.0,-0.0109606705351386,0.0045132172791746,-0.0812379110251451,,94529,89784403800.0,273751342840,0.32799999999999996,ok
93153,20260316902790,1573381,레이저쎌,412350,단일판매ㆍ공급계약체결,2026-03-16,KOSDAQ,4950.0,6430.0,7660.0,7000.0,0.2989898989898989,0.5474747474747474,0.4141414141414141,,93153,427070280.0,4015870540,0.1063,ok
93152,20260316902793,1573381,레이저쎌,412350,단일판매ㆍ공급계약체결,2026-03-16,KOSDAQ,4950.0,6430.0,7660.0,7000.0,0.2989898989898989,0.5474747474747474,0.4141414141414141,,93152,962017980.0,4015870540,0.2396,ok
22165,20260424901001,1573381,레이저쎌,412350,단일판매ㆍ공급계약체결,2026-04-24,KOSDAQ,7720.0,8610.0,8070.0,7660.0,0.1152849740932642,0.0453367875647667,-0.0077720207253886,,22165,1560000000.0,4684448307,0.33299999999999996,ok
604,20260527900199,1573381,레이저쎌,412350,단일판매ㆍ공급계약체결,2026-05-27,KOSDAQ,10070.0,9150.0,8700.0,7940.0,-0.0913604766633564,-0.1360476663356504,-0.211519364448858,,604,895000000.0,4684448307,0.1911,ok
92971,20260317800019,413046,셀트리온,068270,단일판매ㆍ공급계약체결,2026-03-17,KOSPI,196352.0,199688.0,192539.0,190252.0,0.0169898956975227,-0.0194192063233377,-0.0310666558018253,,92971,294921000000.0,3557303554371,0.08289999999999999,ok
92965,20260317800064,182696,대한조선,439260,단일판매ㆍ공급계약체결,2026-03-17,KOSPI,97200.0,95700.0,94900.0,87500.0,-0.015432098765432,-0.0236625514403292,-0.0997942386831275,,92965,133300000000.0,1075300000000,0.124,ok
86404,20260323800069,182696,대한조선,439260,단일판매ㆍ공급계약체결,2026-03-23,KOSPI,88800.0,87500.0,89300.0,81300.0,-0.0146396396396396,0.0056306306306306,-0.0844594594594594,,86404,133800000000.0,1075300000000,0.1244,ok
73433,20260331800063,182696,대한조선,439260,단일판매ㆍ공급계약체결,2026-03-31,KOSPI,85700.0,90000.0,87600.0,88300.0,0.0501750291715286,0.0221703617269544,0.0303383897316218,,73433,276000000000.0,1075300000000,0.25670000000000004,ok
27578,20260416800003,182696,대한조선,439260,단일판매ㆍ공급계약체결,2026-04-16,KOSPI,89200.0,90400.0,89200.0,95100.0,0.0134529147982063,0.0,0.0661434977578474,,27578,132900000000.0,1228100000000,0.1082,ok
92734,20260317900380,838005,서진시스템,178320,단일판매ㆍ공급계약체결,2026-03-17,KOSDAQ,45650.0,45200.0,45400.0,49200.0,-0.0098576122672507,-0.0054764512595837,0.0777656078860897,,92734,270158201368.0,1213752801436,0.22260000000000002,ok
21154,20260428900099,838005,서진시스템,178320,단일판매ㆍ공급계약체결,2026-04-28,KOSDAQ,51300.0,56700.0,59500.0,68100.0,0.1052631578947369,0.1598440545808968,0.327485380116959,,21154,120647755343.0,1066330738953,0.1131,ok
5861,20260518900352,838005,서진시스템,178320,단일판매ㆍ공급계약체결,2026-05-18,KOSDAQ,72800.0,69800.0,65700.0,78600.0,-0.0412087912087911,-0.0975274725274725,0.0796703296703296,,5861,187004483329.0,1066330738953,0.1754,ok
92176,20260317900903,528515,한라IMS,092460,단일판매ㆍ공급계약체결,2026-03-17,KOSDAQ,15820.0,16180.0,15920.0,15830.0,0.02275600505689,0.0063211125158026,0.0006321112515803,,92176,18281120000.0,104235725498,0.1754,ok
92084,20260317901131,532059,그린생명과학,114450,단일판매ㆍ공급계약체결,2026-03-17,KOSDAQ,2835.0,2760.0,2720.0,2695.0,-0.0264550264550265,-0.0405643738977072,-0.0493827160493827,,92084,14030000000.0,24860636227,0.5643,ok
11447,20260513900542,532059,그린생명과학,114450,단일판매ㆍ공급계약체결,2026-05-13,KOSDAQ,3645.0,3045.0,2795.0,3000.0,-0.1646090534979424,-0.233196159122085,-0.176954732510288,,11447,10050000000.0,40339622036,0.2491,ok
92017,20260317901170,256502,에이텍,045660,단일판매ㆍ공급계약체결,2026-03-17,KOSDAQ,9520.0,9830.0,9600.0,9510.0,0.0325630252100841,0.0084033613445377,-0.0010504201680672,,92017,5876516903.0,46230948674,0.12710000000000002,ok
91865,20260318900069,965318,이노시뮬레이션,274400,단일판매ㆍ공급계약체결(자율공시),2026-03-18,KOSDAQ,3900.0,3745.0,3750.0,3730.0,-0.0397435897435897,-0.0384615384615384,-0.0435897435897435,,91865,770000000.0,9336213422,0.0825,ok
91839,20260318900123,141246,SGC E&C,016250,단일판매ㆍ공급계약체결,2026-03-18,KOSDAQ,17080.0,16800.0,17820.0,17260.0,-0.0163934426229508,0.0433255269320842,0.0105386416861825,,91839,246678500000.0,1205586883178,0.2046,ok
91840,20260318900125,141246,SGC E&C,016250,단일판매ㆍ공급계약체결,2026-03-18,KOSDAQ,17080.0,16800.0,17820.0,17260.0,-0.0163934426229508,0.0433255269320842,0.0105386416861825,,91840,155612500000.0,1205586883178,0.1291,ok
91743,20260318900247,1584183,퀄리타스반도체,432720,단일판매ㆍ공급계약체결,2026-03-18,KOSDAQ,14230.0,13740.0,14350.0,16920.0,-0.0344342937456079,0.0084328882642306,0.1890372452565003,,91743,2423520000.0,6074683889,0.39899999999999997,ok
64321,20260401900721,1584183,퀄리타스반도체,432720,단일판매ㆍ공급계약체결,2026-04-01,KOSDAQ,15290.0,14120.0,14180.0,15650.0,-0.0765206017004578,-0.0725964682799215,0.0235448005232177,,64321,1286390000.0,6074683889,0.2118,ok
25813,20260420900415,1584183,퀄리타스반도체,432720,단일판매ㆍ공급계약체결,2026-04-20,KOSDAQ,18390.0,19520.0,20150.0,20950.0,0.0614464382816748,0.0957041870581838,0.1392060902664491,,25813,1814480000.0,5350047190,0.3392,ok
91719,20260318900291,442561,에프알텍,073540,단일판매ㆍ공급계약체결,2026-03-18,KOSDAQ,2425.0,2310.0,2350.0,2610.0,-0.0474226804123711,-0.0309278350515463,0.0762886597938143,,91719,3379029550.0,29759555648,0.114,ok
91412,20260318900618,556712,힘스,238490,단일판매ㆍ공급계약체결,2026-03-18,KOSDAQ,2980.0,3100.0,3090.0,3050.0,0.0402684563758388,0.0369127516778522,0.0234899328859059,,91412,7491000000.0,61263780643,0.122,ok
5722,20260518900530,556712,힘스,238490,단일판매ㆍ공급계약체결(자율공시),2026-05-18,KOSDAQ,3405.0,3355.0,3160.0,3185.0,-0.0146842878120411,-0.0719530102790014,-0.0646108663729808,,5722,5519264000.0,59259188126,0.09300000000000001,ok
