id,receipt_no,corp_code,corp_name,stock_code,report_name,event_date,market,t0_close,t+1_close,t+2_close,t+5_close,ret_1d,ret_2d,ret_5d,error
809063,20231103800544,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2023-11-03,KOSPI,24550.0,26100.0,26250.0,25300.0,0.06313645621181263,0.06924643584521384,0.03054989816700604,
797379,20231124800249,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2023-11-24,KOSPI,25800.0,25700.0,25800.0,28050.0,-0.003875968992248069,0.0,0.08720930232558133,
717418,20240322800145,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-03-22,KOSPI,32400.0,32600.0,33200.0,36800.0,0.006172839506172867,0.024691358024691468,0.1358024691358024,
713757,20240326801565,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-03-26,KOSPI,33200.0,34300.0,34400.0,38950.0,0.033132530120481896,0.03614457831325302,0.17319277108433728,
636334,20240604800087,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-06-04,KOSPI,37200.0,36750.0,37900.0,37500.0,-0.012096774193548376,0.018817204301075252,0.008064516129032251,
634885,20240607800456,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-06-07,KOSPI,37900.0,38250.0,37750.0,38700.0,0.00923482849604218,-0.00395778364116095,0.02110817941952514,
631730,20240614800602,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-06-14,KOSPI,38700.0,42600.0,40200.0,39650.0,0.10077519379844957,0.03875968992248069,0.02454780361757103,
625638,20240627800323,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-06-27,KOSPI,39600.0,40800.0,40100.0,38100.0,0.030303030303030276,0.012626262626262541,-0.037878787878787845,
612241,20240726800109,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-07-26,KOSPI,47750.0,49950.0,49600.0,48550.0,0.04607329842931929,0.03874345549738223,0.01675392670157061,
611506,20240729800010,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-07-29,KOSPI,49950.0,49600.0,48900.0,44700.0,-0.00700700700700696,-0.02102102102102099,-0.10510510510510507,
611505,20240729800013,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-07-29,KOSPI,49950.0,49600.0,48900.0,44700.0,-0.00700700700700696,-0.02102102102102099,-0.10510510510510507,
594441,20240826800037,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-08-26,KOSPI,53700.0,53500.0,53500.0,52200.0,-0.003724394785847296,-0.003724394785847296,-0.027932960893854775,
544388,20241203800009,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-12-03,KOSPI,53600.0,51300.0,47800.0,46000.0,-0.042910447761194015,-0.10820895522388063,-0.14179104477611937,
535728,20241216801629,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-12-16,KOSPI,49550.0,48500.0,48450.0,49950.0,-0.021190716448032276,-0.02219979818365292,0.008072653884964698,
530120,20241227800136,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2024-12-27,KOSPI,48750.0,49700.0,52100.0,55700.0,0.019487179487179596,0.06871794871794878,0.14256410256410246,
497772,20250226800006,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2025-02-26,KOSPI,85600.0,82600.0,78200.0,88800.0,-0.03504672897196259,-0.08644859813084116,0.03738317757009346,
459322,20250328802869,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2025-03-28,KOSPI,101700.0,105000.0,105900.0,98800.0,0.032448377581120846,0.041297935103244754,-0.02851524090462143,
433677,20250407800743,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2025-04-07,KOSPI,90400.0,91600.0,91900.0,104400.0,0.01327433628318575,0.0165929203539823,0.15486725663716805,
404967,20250507800534,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2025-05-07,KOSPI,118300.0,116300.0,125400.0,107600.0,-0.01690617075232459,0.06001690617075228,-0.09044801352493659,
393512,20250527800286,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2025-05-27,KOSPI,141200.0,139300.0,145400.0,156100.0,-0.013456090651558061,0.02974504249291776,0.10552407932011332,
359571,20250804800039,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2025-08-04,KOSPI,200000.0,201000.0,197400.0,181100.0,0.004999999999999893,-0.013000000000000012,-0.09450000000000003,
294077,20251209800033,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2025-12-09,KOSPI,192200.0,187000.0,179200.0,181400.0,-0.027055150884495283,-0.06763787721123826,-0.05619146722164414,
285585,20251222800117,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2025-12-22,KOSPI,183000.0,188700.0,183600.0,187900.0,0.031147540983606614,0.003278688524590123,0.02677595628415297,
264939,20260130801210,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2026-01-30,KOSPI,230500.0,214500.0,222000.0,202500.0,-0.06941431670281994,-0.03687635574837311,-0.12147505422993488,
262523,20260204800269,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2026-02-04,KOSPI,228500.0,207000.0,202500.0,202500.0,-0.0940919037199125,-0.11378555798687084,-0.11378555798687084,
23459,20260423800661,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2026-04-23,KOSPI,235500.0,233000.0,231000.0,268500.0,-0.010615711252653925,-0.019108280254777066,0.14012738853503182,
23458,20260423800664,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2026-04-23,KOSPI,235500.0,233000.0,231000.0,268500.0,-0.010615711252653925,-0.019108280254777066,0.14012738853503182,
115537,20260619800001,00302926,현대로템,064350,단일판매ㆍ공급계약체결,2026-06-19,KOSPI,207000.0,203500.0,193600.0,169800.0,-0.016908212560386437,-0.06473429951690823,-0.17971014492753623,
1318243,20210628800084,00115287,동방,004140,단일판매ㆍ공급계약체결,2021-06-28,KOSPI,6155.0,6145.0,6271.0,6107.0,-0.0016246953696181787,0.01884646628757114,-0.007798537774167391,
